FEN,Move,WhiteElo,BlackElo
r4rk1/p4ppp/3bpn2/1N6/8/8/PPP2PPP/R1B1R1K1 b - - 0 15,c3b5,961,944
rb3rk1/p4ppp/4pn2/1N6/8/8/PPP2PPP/R1B1R1K1 w - - 1 16,d6b8,961,944
rb3rk1/p4ppp/4pn2/1N6/8/4B3/PPP2PPP/R3R1K1 b - - 2 16,c1e3,961,944
rb3rk1/5ppp/p3pn2/1N6/8/4B3/PPP2PPP/R3R1K1 w - - 0 17,a7a6,961,944
rb3rk1/5ppp/p3pn2/8/3N4/4B3/PPP2PPP/R3R1K1 b - - 1 17,b5d4,961,944
rb3rk1/5ppp/p3p3/8/3Nn3/4B3/PPP2PPP/R3R1K1 w - - 2 18,f6e4,961,944
rb3rk1/5ppp/p3p3/8/3Nn3/4B3/PPP2PPP/2R1R1K1 b - - 3 18,a1c1,961,944
r4rk1/5ppp/p3p3/4b3/3Nn3/4B3/PPP2PPP/2R1R1K1 w - - 4 19,b8e5,961,944
r4rk1/5ppp/p3p3/4b3/3Nn3/2P1B3/PP3PPP/2R1R1K1 b - - 0 19,c2c3,961,944
r4rk1/5pp1/p3p2p/4b3/3Nn3/2P1B3/PP3PPP/2R1R1K1 w - - 0 20,h7h6,961,944
r4rk1/5pp1/p1N1p2p/4b3/4n3/2P1B3/PP3PPP/2R1R1K1 b - - 1 20,d4c6,961,944
r4rk1/2b2pp1/p1N1p2p/8/4n3/2P1B3/PP3PPP/2R1R1K1 w - - 2 21,e5c7,961,944
r4rk1/2b1Npp1/p3p2p/8/4n3/2P1B3/PP3PPP/2R1R1K1 b - - 3 21,c6e7,961,944
r4r1k/2b1Npp1/p3p2p/8/4n3/2P1B3/PP3PPP/2R1R1K1 w - - 4 22,g8h8,961,944
r4r1k/2b1Npp1/p3p2p/8/4n3/2P1BP2/PP4PP/2R1R1K1 b - - 0 22,f2f3,961,944
r4r1k/2b1Npp1/p3pn1p/8/8/2P1BP2/PP4PP/2R1R1K1 w - - 1 23,e4f6,961,944
r4r1k/2b1Npp1/p3pn1p/8/1P6/2P1BP2/P5PP/2R1R1K1 b - - 0 23,b2b4,961,944
r3r2k/2b1Npp1/p3pn1p/8/1P6/2P1BP2/P5PP/2R1R1K1 w - - 1 24,f8e8,961,944
r3r2k/2b2pp1/p1N1pn1p/8/1P6/2P1BP2/P5PP/2R1R1K1 b - - 2 24,e7c6,961,944
r3r2k/2b2pp1/p1N1pn2/7p/1P6/2P1BP2/P5PP/2R1R1K1 w - - 0 25,h6h5,961,944
r3r2k/2b2pp1/p1N1pn2/7p/PP6/2P1BP2/6PP/2R1R1K1 b - - 0 25,a2a4,961,944
r3r2k/2b2pp1/p1N1pn2/8/PP5p/2P1BP2/6PP/2R1R1K1 w - - 0 26,h5h4,961,944
r3r2k/2b2pp1/p1N1pn2/8/PP5p/2P1BP1P/6P1/2R1R1K1 b - - 0 26,h2h3,961,944
r3r2k/5pp1/p1N1pn2/8/PP5p/2P1BPbP/6P1/2R1R1K1 w - - 1 27,c7g3,961,944
r3r2k/5pp1/p1N1pn2/8/PP5p/2P1BPbP/6P1/2RR2K1 b - - 2 27,e1d1,961,944
r1r4k/5pp1/p1N1pn2/8/PP5p/2P1BPbP/6P1/2RR2K1 w - - 3 28,e8c8,961,944
r1r4k/4Npp1/p3pn2/8/PP5p/2P1BPbP/6P1/2RR2K1 b - - 4 28,c6e7,961,944
r3r2k/4Npp1/p3pn2/8/PP5p/2P1BPbP/6P1/2RR2K1 w - - 5 29,c8e8,961,944
r3r2k/4Npp1/p3pn2/2B5/PP5p/2P2PbP/6P1/2RR2K1 b - - 6 29,e3c5,961,944
r3r2k/3nNpp1/p3p3/2B5/PP5p/2P2PbP/6P1/2RR2K1 w - - 7 30,f6d7,961,944
r3r2k/3RNpp1/p3p3/2B5/PP5p/2P2PbP/6P1/2R3K1 b - - 0 30,d1d7,961,944
r2r3k/3RNpp1/p3p3/2B5/PP5p/2P2PbP/6P1/2R3K1 w - - 1 31,e8d8,961,944
r2R3k/4Npp1/p3p3/2B5/PP5p/2P2PbP/6P1/2R3K1 b - - 0 31,d7d8,961,944
3r3k/4Npp1/p3p3/2B5/PP5p/2P2PbP/6P1/2R3K1 w - - 0 32,a8d8,961,944
3r3k/4Npp1/p3p3/1PB5/P6p/2P2PbP/6P1/2R3K1 b - - 0 32,b4b5,961,944
7k/4Npp1/p3p3/1PBr4/P6p/2P2PbP/6P1/2R3K1 w - - 1 33,d8d5,961,944
7k/5pp1/p3p3/1PBN4/P6p/2P2PbP/6P1/2R3K1 b - - 0 33,e7d5,961,944
7k/5pp1/p7/1PBp4/P6p/2P2PbP/6P1/2R3K1 w - - 0 34,e6d5,961,944
7k/5pp1/P7/2Bp4/P6p/2P2PbP/6P1/2R3K1 b - - 0 34,b5a6,961,944
7k/2b2pp1/P7/2Bp4/P6p/2P2P1P/6P1/2R3K1 w - - 1 35,g3c7,961,944
7k/P1b2pp1/8/2Bp4/P6p/2P2P1P/6P1/2R3K1 b - - 0 35,a6a7,961,944
7k/P4pp1/8/2Bp4/P6p/2P2PbP/6P1/2R3K1 w - - 1 36,c7g3,961,944
Q6k/5pp1/8/2Bp4/P6p/2P2PbP/6P1/2R3K1 b - - 0 36,a7a8q,961,944
Q7/5ppk/8/2Bp4/P6p/2P2PbP/6P1/2R3K1 w - - 1 37,h8h7,961,944
8/5ppk/8/2BQ4/P6p/2P2PbP/6P1/2R3K1 b - - 0 37,a8d5,961,944
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,e2e4,704,582
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,e7e5,704,582
rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,g1f3,704,582
rnbqk1nr/pppp1ppp/8/2b1p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3,f8c5,704,582
rnbqk1nr/pppp1ppp/8/2b1p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,f1c4,704,582
rnb1k1nr/ppppqppp/8/2b1p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4,d8e7,704,582
rnb1k1nr/ppppqppp/8/2b1p3/2B1P3/2N2N2/PPPP1PPP/R1BQK2R b KQkq - 5 4,b1c3,704,582
rnb1k1nr/ppppqppp/1b6/4p3/2B1P3/2N2N2/PPPP1PPP/R1BQK2R w KQkq - 6 5,c5b6,704,582
rnb1k1nr/ppppqppp/1b6/3Np3/2B1P3/5N2/PPPP1PPP/R1BQK2R b KQkq - 7 5,c3d5,704,582
rnb1k1nr/pppp1ppp/1b6/2qNp3/2B1P3/5N2/PPPP1PPP/R1BQK2R w KQkq - 8 6,e7c5,704,582
rnb1k1nr/pppp1ppp/1b6/2qNp3/2B1P3/3P1N2/PPP2PPP/R1BQK2R b KQkq - 0 6,d2d3,704,582
rnb1k1nr/pppp1ppp/1b6/3Np3/2B1P3/3P1N2/PPP2qPP/R1BQK2R w KQkq - 0 7,c5f2,704,582
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,e2e4,930,983
